2a14:3d00::/35,US,US-NY,,
2a14:3d00:2000::/35,GB,GB-ENG,London,
2a14:3d00:4000::/35,IN,,,
2a14:3d00:6000::/35,RU,,,
2a14:3d00:8000::/35,BR,BR-SP,Sao Paulo,
2a14:3d00:a000::/35,DE,DE-HE,Frankfurt,
2a14:3d00:c000::/35,AU,AU-NSW,Sydney,
2a14:3d00:e000::/35,FR,FR-75C,Paris,
2a14:3d01::/35,KR,,,
2a14:3d01:2000::/35,CA,CA-ON,Toronto,
2a14:3d01:4000::/35,IT,IT-MI,Milan,
2a14:3d01:6000::/35,TR,,,
2a14:3d01:8000::/35,TH,,,
2a14:3d01:a000::/35,ZA,,,
2a14:3d01:c000::/35,DK,,,
2a14:3d01:e000::/35,AT,,,
2a14:3d02::/35,BE,,,
2a14:3d02:2000::/35,HU,,,
2a14:3d02:4000::/35,JP,JP-13,Tokyo,
2a14:3d02:6000::/35,ID,,,
2a14:3d02:8000::/35,IL,,,
2a14:3d02:a000::/35,CZ,,,
2a14:3d02:c000::/35,MY,,,
2a14:3d02:e000::/35,MX,,,
2a14:3d03::/35,NL,NL-NH,Amsterdam,
2a14:3d03:2000::/35,NZ,,,
2a14:3d03:4000::/35,KZ,,,
2a14:3d03:6000::/35,PK,,,
2a14:3d03:8000::/35,PH,,,
2a14:3d03:a000::/35,PL,,,
2a14:3d03:c000::/35,SA,,,
2a14:3d03:e000::/35,SG,,Singapore,
2a14:3d04::/35,ES,,,
2a14:3d04:2000::/35,SE,,,
2a14:3d04:4000::/35,CH,,,
2a14:3d04:6000::/35,UA,,,
2a14:3d04:8000::/35,AE,,,
2a14:3d04:a000::/35,VN,,,
2a14:3d04:c000::/35,HK,,,
2a14:3d04:e000::/35,AM,,,
2a14:3d05::/36,AO,,,
2a14:3d05:1000::/36,AR,AR-J,San Juan,
2a14:3d05:2000::/36,AZ,,,
2a14:3d05:3000::/36,BA,,,
2a14:3d05:4000::/36,BD,,,
2a14:3d05:5000::/36,BG,,,
2a14:3d05:6000::/36,BN,,,
2a14:3d05:7000::/36,BY,,,
2a14:3d05:8000::/36,CI,,,
2a14:3d05:9000::/36,CL,,,
2a14:3d05:a000::/36,CO,,,
2a14:3d05:b000::/36,EE,,,
2a14:3d05:c000::/36,EG,,,
2a14:3d05:d000::/36,FI,,,
2a14:3d05:e000::/36,GE,,,
2a14:3d05:f000::/36,GR,,,
2a14:3d06::/36,GT,,,
2a14:3d06:1000::/36,HR,,,
2a14:3d06:2000::/36,IE,,,
2a14:3d06:3000::/36,KE,,,
2a14:3d06:4000::/36,KW,,,
2a14:3d06:5000::/36,LV,,,
2a14:3d06:6000::/36,MC,,,
2a14:3d06:7000::/36,MO,,,
2a14:3d06:8000::/36,MW,,,
2a14:3d06:9000::/36,MZ,,,
2a14:3d06:a000::/36,NG,,,
2a14:3d06:b000::/36,NI,,,
2a14:3d06:c000::/36,PA,,,
2a14:3d06:d000::/36,PE,PE-LIM,Lima,
2a14:3d06:e000::/36,PT,,,
2a14:3d06:f000::/36,QA,,,
2a14:3d07::/36,RO,,,
2a14:3d07:1000::/36,RS,,,
2a14:3d07:2000::/36,SI,,,
2a14:3d07:3000::/36,SN,,,
2a14:3d07:4000::/36,SV,,,
2a14:3d07:5000::/36,TW,,,
2a14:3d07:6000::/36,UZ,,,
2a14:3d07:7000::/36,VE,VE-A,Caracas,
2a14:3d07:8000::/36,US,US-VA,,
2a14:3d07:9000::/36,US,US-CA,,
2a14:3d07:a000::/36,US,US-OK,Oklahoma City,
2a14:3d07:b000::/36,US,US-TX,Dallas,
2a14:3d07:c000::/36,US,US-PA,Pittsburgh,
2a14:3d07:d000::/36,US,US-MA,Boston,
2a14:3d07:e000::/36,US,US-GA,Atlanta,
2a14:3d07:f000::/36,US,US-CA,Los Angeles,